"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.467715000E0,1.646575928E-1,2.609074402E-1,9.705816650E0,9.710718906E0
2.477671000E0,1.544787598E-1,2.511776733E-1,9.696086884E0,9.700569816E0
2.487627000E0,1.607656860E-1,2.299218750E-1,9.694440308E0,9.698498985E0
2.497583000E0,1.526824951E-1,2.427951050E-1,9.698930969E0,9.703170789E0
2.507539000E0,1.651066589E-1,2.513273621E-1,9.712402954E0,9.717057003E0
2.517495000E0,1.716929626E-1,2.359094238E-1,9.707912292E0,9.712295960E0
2.527451000E0,1.576222229E-1,2.418969727E-1,9.710307312E0,9.714598654E0
2.537407000E0,1.558259583E-1,2.433938599E-1,9.704619141E0,9.708921411E0
2.547363000E0,1.643582153E-1,2.523751831E-1,9.696535950E0,9.701212104E0
2.557319000E0,1.679507446E-1,2.616558838E-1,9.694440308E0,9.699424938E0
2.567275000E0,1.549278259E-1,2.372566223E-1,9.687255249E0,9.691398640E0
2.577231000E0,1.481918335E-1,2.647993469E-1,9.703721008E0,9.708464396E0
2.587187000E0,1.577719116E-1,2.612068176E-1,9.692943420E0,9.697745776E0
2.597143000E0,1.607656860E-1,2.604583740E-1,9.696685638E0,9.701515167E0
2.607099000E0,1.583706665E-1,2.427951050E-1,9.704619141E0,9.708947595E0
2.617055000E0,1.592687988E-1,2.454895020E-1,9.696086884E0,9.700501662E0
2.627011000E0,1.499880981E-1,2.501298523E-1,9.702673187E0,9.707055596E0
2.636967000E0,1.591191101E-1,2.481838989E-1,9.694889374E0,9.699370810E0
2.646923000E0,1.652563477E-1,2.468367004E-1,9.702373810E0,9.706919983E0
2.656879000E0,1.636097717E-1,2.406994629E-1,9.699080658E0,9.703446295E0
2.666835000E0,1.621128845E-1,2.543211365E-1,9.696835327E0,9.701524375E0
2.676791000E0,1.523831177E-1,2.471360779E-1,9.700427856E0,9.704771891E0
2.686748000E0,1.586700439E-1,2.517764282E-1,9.702673187E0,9.707236194E0
2.696703000E0,1.543290710E-1,2.523751831E-1,9.694739685E0,9.699251943E0
2.706660000E0,1.562750244E-1,2.625540161E-1,9.704319763E0,9.709128620E0
2.716616000E0,1.498384094E-1,2.409988403E-1,9.702074432E0,9.706223791E0
2.726572000E0,1.519340515E-1,2.438429260E-1,9.702972565E0,9.707225140E0
2.736528000E0,1.585203552E-1,2.562670898E-1,9.710457001E0,9.715131326E0
2.746484000E0,1.565744019E-1,2.423460388E-1,9.702074432E0,9.706363657E0
2.756440000E0,1.537303162E-1,2.538720703E-1,9.700128479E0,9.704667771E0
2.766396000E0,1.615141296E-1,2.469863892E-1,9.697134705E0,9.701624120E0
2.776352000E0,1.547781372E-1,2.384541321E-1,9.703571320E0,9.707734700E0
2.786308000E0,1.537303162E-1,2.547702026E-1,9.696086884E0,9.700651613E0
2.796264000E0,1.523831177E-1,2.517764282E-1,9.705966339E0,9.710427105E0
2.806220000E0,1.532812500E-1,2.600093079E-1,9.700577545E0,9.705272005E0
2.816176000E0,1.627116394E-1,2.547702026E-1,9.708361359E0,9.713066622E0
2.826132000E0,1.631607056E-1,2.513273621E-1,9.701924744E0,9.706550911E0
2.836088000E0,1.607656860E-1,2.607577515E-1,9.689500580E0,9.694341736E0
2.846044000E0,1.579216003E-1,2.412982178E-1,9.700876923E0,9.705162396E0
2.856000000E0,1.612147522E-1,2.546205139E-1,9.712702332E0,9.717376620E0
2.865956000E0,1.688488770E-1,2.649490356E-1,9.709558868E0,9.714640567E0
2.875912000E0,1.484912109E-1,2.368075562E-1,9.693242798E0,9.697271956E0
2.885868000E0,1.586700439E-1,2.412982178E-1,9.702074432E0,9.706371583E0
2.895824000E0,1.739382935E-1,2.526745605E-1,9.705966339E0,9.710812610E0
2.905780000E0,1.465452576E-1,2.454895020E-1,9.703122253E0,9.707333417E0
2.915736000E0,1.552272034E-1,2.436932373E-1,9.703870697E0,9.708171217E0
2.925692000E0,1.520837402E-1,2.383044434E-1,9.707313538E0,9.711429070E0
2.935648000E0,1.463955688E-1,2.555186462E-1,9.697583771E0,9.702054032E0
2.945604000E0,1.583706665E-1,2.492317200E-1,9.711804199E0,9.716292427E0
2.955560000E0,1.472937012E-1,2.444416809E-1,9.696386261E0,9.700585224E0
2.965516000E0,1.552272034E-1,2.543211365E-1,9.696086884E0,9.700663667E0
2.975472000E0,1.495390320E-1,2.420466614E-1,9.704020386E0,9.708190365E0
2.985428000E0,1.597178650E-1,2.469863892E-1,9.709259491E0,9.713713602E0
2.995384000E0,1.637594604E-1,2.495310974E-1,9.705367584E0,9.709955864E0
