"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.343221333E0,8.203004021E-3,-8.232167009E-3,-1.427913451E-1,1.432634848E-1
2.353177333E0,-2.998644048E-2,-1.840557307E-3,-8.740885735E-2,9.242771558E-2
2.363134333E0,2.246171348E-3,1.125430042E-2,-7.887952387E-2,7.970999843E-2
2.373090333E0,-1.612106591E-2,1.235237097E-2,-1.574678564E-1,1.587721501E-1
2.383046333E0,-1.274141181E-2,4.696796073E-2,-1.290269995E-1,1.378995994E-1
2.393002333E0,-1.313801749E-2,3.541415496E-2,-1.061252099E-1,1.126469265E-1
2.402958333E0,-4.765248695E-2,2.470530840E-2,-1.210929126E-1,1.324560502E-1
2.412915333E0,-2.932859218E-2,-4.255347736E-3,-1.044762951E-1,1.085982069E-1
2.422871333E0,-3.192285558E-2,-1.279608328E-3,-1.296228307E-1,1.335020013E-1
2.432827333E0,-4.026679577E-2,1.250788864E-2,-1.040272290E-1,1.122476124E-1
2.442783333E0,-2.667733669E-2,-2.578141535E-2,-9.714447141E-2,1.039875473E-1
2.452739333E0,-3.600967560E-2,-2.810738292E-2,-1.306759143E-1,1.384301856E-1
2.462696333E0,-2.513548074E-2,-2.231726898E-2,-8.546758175E-2,9.183986290E-2
2.472652333E0,-1.513425691E-2,-2.591553586E-2,-1.052282470E-1,1.094241505E-1
2.482608333E0,-7.507788353E-3,-1.391169548E-2,-7.858423948E-2,8.015849832E-2
2.492564333E0,-4.068309925E-2,-1.346202632E-2,-8.037933469E-2,9.108884763E-2
2.502520333E0,-3.189254142E-3,-1.305478603E-2,-9.549497187E-2,9.643592916E-2
2.512477333E0,9.670015611E-4,1.054015439E-2,-1.058211547E-1,1.063491736E-1
2.522433333E0,-1.425894700E-2,1.819395868E-2,-1.237826318E-1,1.259225064E-1
2.532389333E0,1.771450527E-3,9.927457552E-3,-1.050709569E-1,1.055537704E-1
2.542345333E0,1.227425583E-2,2.315490089E-2,-1.164490539E-1,1.193615891E-1
2.552301333E0,2.733533118E-2,2.052423857E-2,-1.113631457E-1,1.164912654E-1
2.562257333E0,3.237884704E-2,-5.379072949E-4,-1.311226416E-1,1.350623049E-1
2.572214333E0,1.296042658E-2,7.484216765E-3,-1.023853308E-1,1.034733885E-1
2.582170333E0,2.158799328E-2,1.924899738E-2,-1.230464673E-1,1.264001522E-1
2.592126333E0,4.374247212E-3,5.517377872E-3,-1.429562366E-1,1.431295255E-1
2.602082333E0,-5.224359278E-3,-1.185053369E-2,-9.999498904E-2,1.008301885E-1
2.612038333E0,-1.251883389E-2,-3.093412796E-2,-1.053826135E-1,1.105402040E-1
2.621994333E0,-3.446586449E-2,-1.231251854E-2,-1.121145129E-1,1.179370931E-1
2.631951333E0,-2.968627732E-2,4.325861502E-3,-8.532081664E-2,9.044130633E-2
2.641907333E0,-1.499322938E-2,-6.001965869E-3,-1.023859155E-1,1.036518028E-1
2.651863333E0,-3.715070492E-2,-3.879744530E-2,-1.221442419E-1,1.334340004E-1
2.661819333E0,-5.111042066E-2,-3.282838829E-2,-1.098685974E-1,1.255431674E-1
2.671775333E0,-4.726317203E-2,-3.254636977E-2,-1.020836145E-1,1.171073779E-1
2.681732333E0,-4.268259119E-2,-1.552594727E-2,-1.019315869E-1,1.115925940E-1
2.691688333E0,-4.401813179E-2,2.437430117E-3,-1.044762951E-1,1.133967955E-1
2.701644333E0,-5.165709877E-2,5.162634607E-3,-1.311214721E-1,1.410246400E-1
2.711600333E0,-2.619110417E-2,1.535303414E-2,-1.240866870E-1,1.277466065E-1
2.721556333E0,-7.599534821E-3,7.142885551E-3,-1.020836145E-1,1.026149993E-1
2.731513333E0,-2.528237376E-2,9.135269467E-3,-1.077729553E-1,1.110750263E-1
2.741469333E0,-1.064960696E-3,2.338138914E-2,-1.254362243E-1,1.276012142E-1
2.751425333E0,9.465527516E-3,2.060171418E-2,-1.127156067E-1,1.149731918E-1
2.761381333E0,1.762387343E-2,2.176985996E-2,-9.295728028E-2,9.708544522E-2
2.771337333E0,1.743411301E-2,1.677151384E-2,-9.804435790E-2,1.009847914E-1
2.781293333E0,2.357515125E-2,1.404457346E-2,-1.083717102E-1,1.117920631E-1
2.791250333E0,2.770662937E-2,8.636538517E-3,-9.729591429E-2,1.015319755E-1
2.801206333E0,7.113411929E-3,-7.381287497E-3,-1.014860290E-1,1.020024417E-1
2.811162333E0,1.362004733E-2,-2.181970747E-2,-1.177985913E-1,1.205740993E-1
2.821119292E0,2.097235456E-2,-3.265240537E-2,-1.055229467E-1,1.124326977E-1
2.831075292E0,-3.701013420E-3,-3.199457534E-2,-1.109099865E-1,1.154918848E-1
2.841032292E0,-6.761939451E-3,-2.059672577E-2,-1.162976110E-1,1.183008168E-1
2.850988292E0,-1.177227236E-2,-1.902969025E-2,-1.248333764E-1,1.268230554E-1
2.860944292E0,-2.641830504E-2,-2.715545621E-2,-1.233359045E-1,1.290236063E-1
2.870900292E0,-2.731945233E-2,-1.101827390E-2,-1.005820495E-1,1.048069822E-1
2.880856292E0,-4.371308986E-2,-3.877946511E-3,-1.179436022E-1,1.258434186E-1
2.890813292E0,-2.455138044E-2,-8.628480323E-4,-9.608671010E-2,9.917747045E-2
2.900769292E0,-3.072852524E-2,-7.194998860E-4,-1.047680712E-1,1.091838298E-1
2.910725292E0,-3.974246498E-2,1.156392876E-2,-1.242270201E-1,1.309409810E-1
2.920681292E0,-2.473295476E-2,1.584966375E-2,-1.095569408E-1,1.134268670E-1
